H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.37,-0.21,0.17,24,2.09,32.73,29.57,32.27,36.42,41.3694953918,1.9970524311,143.8576965332,0.2752,42.8571428571429
0.47,-0.19,0.18,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,42.8571428571429
0.47,-0.27,0.18,24,2,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,43.5844155844156
0.37,-0.25,0.18,25,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,44.3116883116883
0.47,-0.19,0.18,24,2,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,45.038961038961
0.18,-0.23,0.18,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,45.7662337662338
0.37,-0.25,0.18,24,2,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,46.4935064935065
0.18,-0.23,0.18,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,47.2207792207792
0.56,-0.23,0.18,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,47.948051948052
0.56,-0.23,0.18,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,48.6753246753247
0.28,-0.21,0.17,24,2.09,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,49.4025974025974
0.47,-0.25,0.17,24,2,32.72,29.73,32.27,36.53,41.3694953918,1.9970498085,144.6278076172,0.2388,50.1298701298701
0.47,-0.21,0.18,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,50.1298701298701
0.47,-0.19,0.17,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,51.4155844155844
0.47,-0.23,0.17,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,52.7012987012987
0.37,-0.19,0.17,24,2.18,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,53.987012987013
0.37,-0.19,0.17,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,55.2727272727273
0.37,-0.23,0.17,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,56.5584415584416
0.18,-0.19,0.17,24,2,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,57.8441558441558
0.18,-0.21,0.16,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,59.1298701298701
0.37,-0.23,0.17,24,1.91,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,60.4155844155844
0.37,-0.23,0.18,26,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,61.7012987012987
0.28,-0.23,0.18,25,2,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,62.987012987013
0.18,-0.21,0.17,24,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,64.2727272727273
0.37,-0.21,0.17,23,2,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,65.5584415584416
0.28,-0.23,0.17,25,2.09,32.73,29.55,32.27,36.46,41.3694992065,1.9970325232,144.5442047119,0.2401,66.8441558441558
0.37,-0.21,0.17,24,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,66.8441558441558
0.28,-0.23,0.18,25,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,67.4155844155844
0.47,-0.19,0.18,24,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,67.987012987013
0.28,-0.25,0.18,24,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,68.5584415584416
0.28,-0.25,0.18,24,2,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,69.1298701298701
0.56,-0.21,0.18,25,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,69.7012987012987
0.47,-0.23,0.17,23,2,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,70.2727272727273
0.47,-0.23,0.18,24,2,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,70.8441558441558
0.47,-0.23,0.18,24,2,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,71.4155844155844
0.47,-0.25,0.18,24,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,71.987012987013
0.37,-0.23,0.18,24,2,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,72.5584415584416
0.37,-0.23,0.18,24,2.18,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,73.1298701298701
0.37,-0.23,0.18,24,2.09,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,73.7012987012987
0.47,-0.21,0.18,25,2.18,32.73,29.51,32.27,36.4,41.3695030212,1.9970211983,144.796005249,0.2203,74.2727272727273
0.37,-0.23,0.18,25,2.18,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,74.2727272727273
0.28,-0.19,0.18,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,74.939393939394
0.37,-0.21,0.18,25,2.18,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,75.6060606060606
0.28,-0.25,0.17,24,2,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,76.2727272727273
0.28,-0.19,0.18,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,76.939393939394
0.47,-0.14,0.18,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,77.6060606060606
0.08,-0.17,0.18,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,78.2727272727273
0.18,-0.21,0.17,25,2,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,78.9393939393939
0.37,-0.23,0.18,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,79.6060606060606
0.47,-0.25,0.18,25,2.18,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,80.2727272727273
0.28,-0.23,0.17,24,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,80.9393939393939
0.18,-0.25,0.17,24,2,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,81.6060606060606
