Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -10393  19919   23039
Received by board: MES: gas_levels = -10397  19922   23039
Received by board: MES: gas_levels = -10124  19964   23039
Received by board: MES: gas_levels = -10276  19943   23039
Received by board: MES: gas_levels = -10211  19835   23039
Received by board: MES: gas_levels = -10283  19942   23039
Received by board: MES: gas_levels = -10054  19985   23039
Received by board: MES: gas_levels = -10123  19972   22869
Received by board: MES: gas_levels = -10359  19932   22869
Received by board: MES: gas_levels = -10283  19938   22869
Received by board: MES: gas_levels = -10165  19952   22869
Received by board: MES: gas_levels = -10190  19911   22869
Received by board: MES: gas_levels = -10306  19939   22869
Received by board: MES: gas_levels = -10046  19946   22869
Received by board: MES: gas_levels = -10245  19981   22869
Received by board: MES: gas_levels = -10210  19991   22869
Received by board: MES: gas_levels = -10207  20012   22869
Received by board: MES: gas_levels = -10252  20066   22869
Received by board: MES: gas_levels = -10011  19967   22869
Received by board: MES: gas_levels = -10142  19937   22869
Received by board: MES: gas_levels = -10185  19921   22869
Received by board: MES: gas_levels = -10248  19965   22869
Received by board: MES: gas_levels = -10204  19955   22869
Received by board: MES: gas_levels = -10188  20016   22869
Received by board: MES: gas_levels = -10116  19984   22869
Received by board: MES: gas_levels = -10110  20008   22869
Received by board: MES: gas_levels = -10119  20049   22869
Received by board: MES: gas_levels = -9940   20036   22869
Received by board: MES: gas_levels = -10220  20060   22869
Received by board: MES: gas_levels = -10184  20010   22869
Received by board: MES: gas_levels = -10142  19978   22869
Received by board: MES: gas_levels = -10135  19964   22869
Received by board: MES: gas_levels = -10136  20005   22869
Received by board: MES: gas_levels = -10400  19974   22869
Received by board: MES: gas_levels = -10393  20032   22869
Received by board: MES: gas_levels = -11233  20116   22869
Received by board: MES: gas_levels = -14671  20171   22869
Received by board: MES: gas_levels = -16944  20361   22869
Received by board: MES: gas_levels = -18505  20437   22869
Received by board: MES: gas_levels = -19517  20444   22869
Received by board: MES: gas_levels = -20053  20538   22869
Received by board: MES: gas_levels = -20296  20540   22869
Received by board: MES: gas_levels = -20554  20464   22869
Received by board: MES: gas_levels = -20425  20541   22869
Received by board: MES: gas_levels = -20474  20532   22869
Received by board: MES: gas_levels = -20449  20530   22869
Received by board: MES: gas_levels = -20418  20614   22869
Received by board: MES: gas_levels = -20582  20485   22869
Received by board: MES: gas_levels = -20760  20495   22869
Received by board: MES: gas_levels = -20879  20519   22869
Received by board: MES: gas_levels = -20826  20579   22869
Received by board: MES: gas_levels = -20770  20577   22869
Received by board: MES: gas_levels = -20550  20578   22869
Received by board: MES: gas_levels = -20635  20577   22869
Received by board: MES: gas_levels = -20830  20508   22869
Received by board: MES: gas_levels = -20838  20534   22869
Received by board: MES: gas_levels = -20733  20555   22869
Received by board: MES: gas_levels = -20513  20460   22869
Received by board: MES: gas_levels = -20216  20515   22869
Received by board: MES: gas_levels = -20294  20479   22869
Received by board: MES: gas_levels = -20515  20441   22869
Received by board: MES: gas_levels = -20128  20522   22869
Received by board: MES: gas_levels = -20242  20514   22869
Received by board: MES: gas_levels = -20158  20490   22869
Received by board: MES: gas_levels = -20138  20483   22869
Received by board: MES: gas_levels = -20081  20464   22869
Received by board: MES: gas_levels = -20010  20513   22869
Received by board: MES: gas_levels = -20061  20527   22869
Received by board: MES: gas_levels = -20036  20430   22869
Received by board: MES: gas_levels = -20179  20431   22869
Received by board: MES: gas_levels = -20210  20413   22869
Received by board: MES: gas_levels = -20067  20508   22869
Received by board: MES: gas_levels = -20076  20506   22869
Received by board: MES: gas_levels = -20022  20486   22869
Received by board: MES: gas_levels = -19909  20483   22869
Received by board: MES: gas_levels = -19844  20479   22869
Received by board: MES: gas_levels = -19643  20488   23073
Received by board: MES: gas_levels = -19812  20479   22869
Received by board: MES: gas_levels = -19893  20468   23073
Received by board: MES: gas_levels = -19867  20481   23073
Received by board: MES: gas_levels = -19822  20418   23073
Received by board: MES: gas_levels = -19892  20412   23073
Received by board: MES: gas_levels = -19997  20480   23073
Received by board: MES: gas_levels = -20252  20411   23073
Received by board: MES: gas_levels = -20234  20407   23073
Received by board: MES: gas_levels = -20159  20443   23073
Received by board: MES: gas_levels = -19993  20509   22869
Received by board: MES: gas_levels = -19604  20489   22869
Received by board: MES: gas_levels = -19441  20458   22869
Received by board: MES: gas_levels = -19117  20447   22869
Received by board: MES: gas_levels = -19409  20371   22869
Received by board: MES: gas_levels = -19444  20428   22869
Received by board: MES: gas_levels = -19399  20390   22869
Received by board: MES: gas_levels = -19213  20422   22869
Received by board: MES: gas_levels = -19178  20450   22869
Received by board: MES: gas_levels = -19171  20418   22869
Received by board: MES: gas_levels = -18879  20424   22869
Received by board: MES: gas_levels = -18695  20377   22869
Received by board: MES: gas_levels = -18880  20436   22869
Received by board: MES: gas_levels = -18933  20369   22869
Received by board: MES: gas_levels = -19167  20407   22869
Received by board: MES: gas_levels = -19055  20407   22869
Received by board: MES: gas_levels = -19193  20324   22869
Received by board: MES: gas_levels = -19135  20436   22869
Received by board: MES: gas_levels = -19257  20340   22869
Received by board: MES: gas_levels = -19452  20336   22869
Received by board: MES: gas_levels = -19586  20324   22869
Received by board: MES: gas_levels = -19352  20337   22869
Received by board: MES: gas_levels = -19332  20384   22869
Received by board: MES: gas_levels = -19317  20430   22869
Received by board: MES: gas_levels = -19034  20423   22869
Received by board: MES: gas_levels = -19125  20430   22869
Received by board: MES: gas_levels = -19249  20327   22869
Received by board: MES: gas_levels = -19211  20391   22869
Received by board: MES: gas_levels = -19273  20397   22869
Received by board: MES: gas_levels = -19428  20341   22869
Received by board: MES: gas_levels = -19333  20400   22869
Received by board: MES: gas_levels = -19346  20363   22869
Received by board: MES: gas_levels = -19358  20268   22869
Received by board: MES: gas_levels = -19438  20445   22869
Received by board: MES: gas_levels = -19455  20378   22869
Received by board: MES: gas_levels = -19253  20393   22869
Received by board: MES: gas_levels = -19157  20378   22869
Received by board: MES: gas_levels = -19035  20431   22869
Received by board: MES: gas_levels = -19079  20413   22869
Received by board: MES: gas_levels = -19161  20413   22869
Received by board: MES: gas_levels = -19656  20447   22869
Received by board: MES: gas_levels = -19574  20430   22869
Received by board: MES: gas_levels = -19678  20294   22869
Received by board: MES: gas_levels = -19425  20360   22869
Received by board: MES: gas_levels = -19384  20455   22869
Received by board: MES: gas_levels = -19393  20407   22869
Received by board: MES: gas_levels = -19374  20483   22869
Received by board: MES: gas_levels = -19506  20500   22869
Received by board: MES: gas_levels = -19412  20463   22869
Received by board: MES: gas_levels = -19576  20393   22869
Received by board: MES: gas_levels = -19461  20337   22869
Received by board: MES: gas_levels = -19449  20421   22869
Received by board: MES: gas_levels = -19249  20389   22869
Received by board: MES: gas_levels = -19641  20403   22869
Received by board: MES: gas_levels = -19691  20356   22869
Received by board: MES: gas_levels = -19694  20470   22869
Received by board: MES: gas_levels = -19654  20491   22869
Received by board: MES: gas_levels = -19561  20450   22869
Received by board: MES: gas_levels = -19292  20458   22869
Received by board: MES: gas_levels = -19149  20478   22869
Received by board: MES: gas_levels = -19157  20497   22869
Received by board: MES: gas_levels = -19102  20481   22869
Received by board: MES: gas_levels = -19139  20400   22869
Received by board: MES: gas_levels = -19360  20434   22869
Received by board: MES: gas_levels = -19308  20386   22869
Received by board: MES: gas_levels = -19347  20506   22869
Received by board: MES: gas_levels = -19339  20536   22869
Received by board: MES: gas_levels = -19609  20551   22869
Received by board: MES: gas_levels = -19535  20526   22869
Received by board: MES: gas_levels = -19528  20481   23039
Received by board: MES: gas_levels = -19452  20566   23039
Received by board: MES: gas_levels = -19184  20533   23039
Received by board: MES: gas_levels = -19075  20537   23039
Received by board: MES: gas_levels = -19010  20527   23039
Received by board: MES: gas_levels = -19230  20445   23039
Received by board: MES: gas_levels = -19212  20571   23039
Received by board: MES: gas_levels = -19257  20405   23039
Received by board: MES: gas_levels = -19187  20402   22869
Received by board: MES: gas_levels = -19452  20444   23039
Received by board: MES: gas_levels = -19405  20523   22869
Received by board: MES: gas_levels = -19313  20494   22869
Received by board: MES: gas_levels = -19524  20512   22869
Received by board: MES: gas_levels = -19667  20578   22869
Received by board: MES: gas_levels = -19605  20565   22869
Received by board: MES: gas_levels = -19612  20515   22869
Received by board: MES: gas_levels = -19371  20537   22869
Received by board: MES: gas_levels = -19362  20488   22869
Received by board: MES: gas_levels = -19198  20549   22869
Received by board: MES: gas_levels = -19158  20424   22869
Received by board: MES: gas_levels = -19379  20526   22869
Received by board: MES: gas_levels = -19448  20508   22869
Received by board: MES: gas_levels = -19363  20576   22869
Received by board: MES: gas_levels = -19633  20570   22869
Received by board: MES: gas_levels = -19289  20570   22869
Received by board: MES: gas_levels = -19634  20517   22869
Received by board: MES: gas_levels = -19728  20477   22869
Received by board: MES: gas_levels = -19411  20563   22869
Received by board: MES: gas_levels = -19314  20560   22869
Received by board: MES: gas_levels = -19363  20552   22869
Received by board: MES: gas_levels = -19675  20583   22869
Received by board: MES: gas_levels = -19904  20477   22869
Received by board: MES: gas_levels = -19726  20500   22869
Received by board: MES: gas_levels = -19647  20565   22869
Received by board: MES: gas_levels = -19556  20548   22869
Received by board: MES: gas_levels = -19825  20538   22869
Received by board: MES: gas_levels = -19915  20558   22869
Received by board: MES: gas_levels = -19677  20528   22869
Received by board: MES: gas_levels = -19718  20548   22869
Received by board: MES: gas_levels = -19499  20525   22869
Received by board: MES: gas_levels = -19547  20558   22869
Received by board: MES: gas_levels = -19608  20539   22869
Received by board: MES: gas_levels = -19349  20591   22869
Received by board: MES: gas_levels = -19433  20590   22869
Received by board: MES: gas_levels = -19570  20606   22869
Received by board: MES: gas_levels = -20056  20521   22869
Received by board: MES: gas_levels = -19848  20580   22869
Received by board: MES: gas_levels = -19800  20516   22869
Received by board: MES: gas_levels = -19748  20483   22869
Received by board: MES: gas_levels = -19567  20494   22869
Received by board: MES: gas_levels = -19527  20492   22869
Received by board: MES: gas_levels = -19621  20448   22869
Received by board: MES: gas_levels = -19396  20503   22869
Received by board: MES: gas_levels = -19165  20502   22869
Received by board: MES: gas_levels = -18843  20481   22869
Received by board: MES: gas_levels = -19113  20409   22869
Received by board: MES: gas_levels = -19190  20461   22869
Received by board: MES: gas_levels = -19242  20507   22869
Received by board: MES: gas_levels = -19411  20544   22869
Received by board: MES: gas_levels = -19101  20415   22869
Received by board: MES: gas_levels = -19316  20476   22869
Received by board: MES: gas_levels = -19507  20474   22869
Received by board: MES: gas_levels = -19554  20494   22869
Received by board: MES: gas_levels = -19561  20448   22869
Received by board: MES: gas_levels = -19298  20541   22869
Received by board: MES: gas_levels = -19446  20449   22869
Received by board: MES: gas_levels = -19193  20542   22869
Received by board: MES: gas_levels = -19441  20524   22869
Received by board: MES: gas_levels = -19652  20566   22869
Received by board: MES: gas_levels = -19413  20497   22869
Received by board: MES: gas_levels = -19239  20554   22869
Received by board: MES: gas_levels = -19091  20491   22869
Received by board: MES: gas_levels = -19166  20497   22869
Received by board: MES: gas_levels = -19091  20526   22869
Received by board: MES: gas_levels = -19308  20459   22869
Received by board: MES: gas_levels = -19322  20472   22869
Received by board: MES: gas_levels = -19087  20548   22869
Received by board: MES: gas_levels = -19042  20517   22869
Received by board: MES: gas_levels = -19001  20517   22869
Received by board: MES: gas_levels = -19045  20547   23073
Received by board: MES: gas_levels = -19148  20442   23073
Received by board: MES: gas_levels = -18986  20554   23073
Received by board: MES: gas_levels = -19023  20546   23073
Received by board: MES: gas_levels = -18735  20527   23073
Received by board: MES: gas_levels = -18996  20487   23073
Received by board: MES: gas_levels = -18769  20513   23073
Received by board: MES: gas_levels = -18907  20528   23073
Received by board: MES: gas_levels = -18761  20480   23073
Received by board: MES: gas_levels = -18810  20411   22869
Received by board: MES: gas_levels = -18917  20486   23073
Received by board: MES: gas_levels = -18810  20483   22869
Received by board: MES: gas_levels = -19094  20505   22869
Received by board: MES: gas_levels = -19118  20535   22869
Received by board: MES: gas_levels = -18955  20441   22869
Received by board: MES: gas_levels = -19028  20530   22869
Received by board: MES: gas_levels = -18908  20541   22869
Received by board: MES: gas_levels = -19089  20493   22869
Received by board: MES: gas_levels = -19026  20520   22869
Received by board: MES: gas_levels = -19152  20437   22869
Received by board: MES: gas_levels = -19567  20453   22869
Received by board: MES: gas_levels = -19550  20407   22869
Received by board: MES: gas_levels = -19472  20497   22869
Received by board: MES: gas_levels = -19490  20475   22869
Received by board: MES: gas_levels = -19593  20473   22869
Received by board: MES: gas_levels = -19380  20508   22869
Received by board: MES: gas_levels = -19418  20492   22869
Received by board: MES: gas_levels = -19533  20496   22869
Received by board: MES: gas_levels = -19288  20511   22869
Received by board: MES: gas_levels = -19299  20395   22869
Received by board: MES: gas_levels = -19390  20418   22869
Received by board: MES: gas_levels = -19714  20426   22869
Received by board: MES: gas_levels = -19447  20488   22869
Received by board: MES: gas_levels = -19659  20451   22869
Received by board: MES: gas_levels = -19893  20417   22869
Received by board: MES: gas_levels = -19659  20469   22869
Received by board: MES: gas_levels = -19719  20447   22869
Received by board: MES: gas_levels = -19752  20492   22869
Received by board: MES: gas_levels = -19448  20459   22869
Received by board: MES: gas_levels = -19571  20372   22869
Received by board: MES: gas_levels = -19466  20389   22869
Received by board: MES: gas_levels = -19558  20391   22869
Received by board: MES: gas_levels = -19483  20425   22869
Received by board: MES: gas_levels = -19505  20477   22869
Received by board: MES: gas_levels = -19426  20369   22869
Received by board: MES: gas_levels = -19485  20564   22869
Received by board: MES: gas_levels = -19760  20560   22869
Received by board: MES: gas_levels = -19677  20576   22869
Received by board: MES: gas_levels = -19257  20525   22869
Received by board: MES: gas_levels = -19443  20410   22869
Received by board: MES: gas_levels = -19167  20473   22869
Received by board: MES: gas_levels = -19089  20445   22869
Received by board: MES: gas_levels = -19366  20458   22869
Received by board: MES: gas_levels = -19336  20480   22869
Received by board: MES: gas_levels = -19517  20444   22869
Received by board: MES: gas_levels = -19586  20421   22869
Received by board: MES: gas_levels = -19708  20413   22869
Received by board: MES: gas_levels = -19601  20376   22869
Received by board: MES: gas_levels = -19669  20394   22869
Received by board: MES: gas_levels = -19808  20357   22869
Received by board: MES: gas_levels = -19720  20370   22869
Received by board: MES: gas_levels = -19856  20403   22869
Received by board: MES: gas_levels = -19796  20362   22869
Received by board: MES: gas_levels = -19875  20404   22869
Received by board: MES: gas_levels = -20118  20394   22869
Received by board: MES: gas_levels = -20213  20382   22869
Received by board: MES: gas_levels = -20072  20332   22869
Received by board: MES: gas_levels = -20080  20369   22869
Received by board: MES: gas_levels = -20171  20313   22869
Received by board: MES: gas_levels = -20257  20268   22869
Received by board: MES: gas_levels = -20149  20307   22869
Received by board: MES: gas_levels = -20356  20235   22869
Received by board: MES: gas_levels = -20379  20351   22869
Received by board: MES: gas_levels = -20428  20416   22869
Received by board: MES: gas_levels = -20270  20372   22869
Received by board: MES: gas_levels = -20394  20386   22869
Received by board: MES: gas_levels = -20366  20363   22869
Received by board: MES: gas_levels = -20538  20304   23039
Received by board: MES: gas_levels = -20332  20405   22869
Received by board: MES: gas_levels = -20523  20354   23039
Received by board: MES: gas_levels = -20328  20290   23039
Received by board: MES: gas_levels = -20466  20313   23039
Received by board: MES: gas_levels = -20658  20256   23039
Received by board: MES: gas_levels = -20664  20258   23039
Received by board: MES: gas_levels = -20500  20350   23039
Received by board: MES: gas_levels = -20619  20323   23039
Received by board: MES: gas_levels = -21082  20365   23039
Received by board: MES: gas_levels = -20983  20341   22869
Received by board: MES: gas_levels = -20725  20320   23039
Received by board: MES: gas_levels = -20565  20352   22869
Received by board: MES: gas_levels = -20598  20315   22869
Received by board: MES: gas_levels = -20669  20235   22869
Received by board: MES: gas_levels = -20515  20333   22869
Received by board: MES: gas_levels = -20423  20361   22869
Received by board: MES: gas_levels = -20611  20288   22869
Received by board: MES: gas_levels = -20408  20290   22869
Received by board: MES: gas_levels = -20502  20334   22869
Received by board: MES: gas_levels = -20404  20334   22869
Received by board: MES: gas_levels = -20400  20306   22869
Received by board: MES: gas_levels = -20279  20301   22869
Received by board: MES: gas_levels = -20354  20330   22869
Received by board: MES: gas_levels = -20582  20248   22869
Received by board: MES: gas_levels = -20619  20349   22869
Received by board: MES: gas_levels = -20374  20323   22869
Received by board: MES: gas_levels = -20470  20313   22869
Received by board: MES: gas_levels = -20619  20281   22869
Received by board: MES: gas_levels = -20708  20377   22869
Received by board: MES: gas_levels = -20951  20295   22869
Received by board: MES: gas_levels = -21154  20362   22869
Received by board: MES: gas_levels = -21117  20295   22869
Received by board: MES: gas_levels = -21136  20321   22869
Received by board: MES: gas_levels = -20769  20294   22869
Received by board: MES: gas_levels = -20697  20329   22869
Received by board: MES: gas_levels = -20674  20342   22869
Received by board: MES: gas_levels = -20596  20339   22869
Received by board: MES: gas_levels = -20584  20267   22869
Received by board: MES: gas_levels = -20501  20328   22869
Received by board: MES: gas_levels = -20478  20322   22869
Received by board: MES: gas_levels = -20401  20270   22869
Received by board: MES: gas_levels = -20378  20270   22869
Received by board: MES: gas_levels = -20451  20317   22869
Received by board: MES: gas_levels = -20563  20212   22869
Received by board: MES: gas_levels = -20316  20308   22869
Received by board: MES: gas_levels = -20536  20228   22869
Received by board: MES: gas_levels = -20566  20267   22869
Received by board: MES: gas_levels = -20549  20264   22869
Received by board: MES: gas_levels = -20566  20280   22869
Received by board: MES: gas_levels = -20564  20251   22869
Received by board: MES: gas_levels = -20503  20270   22869
Received by board: MES: gas_levels = -20664  20289   22869
