Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -12392  19013   22869
Received by board: MES: gas_levels = -12698  19101   22869
Received by board: MES: gas_levels = -12625  19129   22869
Received by board: MES: gas_levels = -12837  19008   22869
Received by board: MES: gas_levels = -12554  18986   22869
Received by board: MES: gas_levels = -12837  19053   22869
Received by board: MES: gas_levels = -12573  18924   22869
Received by board: MES: gas_levels = -12837  19105   22869
Received by board: MES: gas_levels = -12629  19060   22869
Received by board: MES: gas_levels = -12498  19019   22869
Received by board: MES: gas_levels = -12351  18899   22869
Received by board: MES: gas_levels = -12439  18974   22869
Received by board: MES: gas_levels = -12174  18965   22869
Received by board: MES: gas_levels = -12594  18855   22869
Received by board: MES: gas_levels = -12624  18876   22869
Received by board: MES: gas_levels = -12434  18993   22869
Received by board: MES: gas_levels = -12378  19017   22869
Received by board: MES: gas_levels = -12502  19015   22869
Received by board: MES: gas_levels = -12531  18920   22869
Received by board: MES: gas_levels = -12449  18962   22869
Received by board: MES: gas_levels = -12204  18917   22869
Received by board: MES: gas_levels = -12665  18868   22869
Received by board: MES: gas_levels = -12358  18951   22869
Received by board: MES: gas_levels = -12577  18909   22869
Received by board: MES: gas_levels = -12594  18953   22869
Received by board: MES: gas_levels = -12677  18846   22869
Received by board: MES: gas_levels = -12696  18953   22869
Received by board: MES: gas_levels = -12788  18910   22869
Received by board: MES: gas_levels = -12332  18895   22869
Received by board: MES: gas_levels = -12679  18846   22869
Received by board: MES: gas_levels = -12760  18895   22869
Received by board: MES: gas_levels = -12346  18773   22869
Received by board: MES: gas_levels = -12470  18839   22869
Received by board: MES: gas_levels = -12950  18915   22869
Received by board: MES: gas_levels = -12914  19073   22869
Received by board: MES: gas_levels = -13211  19225   22869
Received by board: MES: gas_levels = -12445  18981   22869
Received by board: MES: gas_levels = -12393  18883   22869
Received by board: MES: gas_levels = -12490  18904   22869
Received by board: MES: gas_levels = -12444  18856   22869
Received by board: MES: gas_levels = -12527  18869   22869
Received by board: MES: gas_levels = -12605  18887   22869
Received by board: MES: gas_levels = -12648  18891   22869
Received by board: MES: gas_levels = -12575  18905   22869
Received by board: MES: gas_levels = -12283  18850   22869
Received by board: MES: gas_levels = -12181  18878   22869
Received by board: MES: gas_levels = -12594  18886   22869
Received by board: MES: gas_levels = -12447  18816   22869
Received by board: MES: gas_levels = -12513  18838   22869
Received by board: MES: gas_levels = -12567  18902   22869
Received by board: MES: gas_levels = -12557  18912   22869
Received by board: MES: gas_levels = -12480  18902   23039
Received by board: MES: gas_levels = -12662  18877   23039
Received by board: MES: gas_levels = -12693  18967   23039
Received by board: MES: gas_levels = -12375  18874   23039
Received by board: MES: gas_levels = -12415  18895   23039
Received by board: MES: gas_levels = -12376  18900   23039
Received by board: MES: gas_levels = -12687  18914   23039
Received by board: MES: gas_levels = -12592  18921   23039
Received by board: MES: gas_levels = -12695  18885   23039
Received by board: MES: gas_levels = -12450  18898   22869
Received by board: MES: gas_levels = -12295  18842   22869
Received by board: MES: gas_levels = -12438  18834   22869
Received by board: MES: gas_levels = -12301  18869   22869
Received by board: MES: gas_levels = -12260  18726   22869
Received by board: MES: gas_levels = -12595  18833   22869
Received by board: MES: gas_levels = -12386  18709   22869
Received by board: MES: gas_levels = -12466  18822   22869
Received by board: MES: gas_levels = -12616  18903   22869
Received by board: MES: gas_levels = -12612  18852   22869
Received by board: MES: gas_levels = -12418  18955   22869
Received by board: MES: gas_levels = -12268  18821   22869
Received by board: MES: gas_levels = -12578  18771   22869
Received by board: MES: gas_levels = -12490  18805   22869
Received by board: MES: gas_levels = -12534  18929   22869
Received by board: MES: gas_levels = -12530  18848   22869
Received by board: MES: gas_levels = -12226  18784   22869
Received by board: MES: gas_levels = -12179  18859   22869
Received by board: MES: gas_levels = -12254  18863   22869
Received by board: MES: gas_levels = -12133  18785   22869
Received by board: MES: gas_levels = -12582  18815   22869
Received by board: MES: gas_levels = -12550  18899   22869
Received by board: MES: gas_levels = -12285  18856   22869
Received by board: MES: gas_levels = -12195  18852   22869
Received by board: MES: gas_levels = -12459  18874   22869
Received by board: MES: gas_levels = -12294  18778   22869
Received by board: MES: gas_levels = -12265  18825   22869
Received by board: MES: gas_levels = -12311  18777   22869
Received by board: MES: gas_levels = -12402  18792   22869
Received by board: MES: gas_levels = -12360  18857   22869
Received by board: MES: gas_levels = -12189  18810   22869
Received by board: MES: gas_levels = -12627  18872   22869
Received by board: MES: gas_levels = -12527  18867   22869
Received by board: MES: gas_levels = -12602  18871   22869
Received by board: MES: gas_levels = -12727  18801   22869
Received by board: MES: gas_levels = -12626  18790   22869
Received by board: MES: gas_levels = -12442  18862   22869
Received by board: MES: gas_levels = -12352  18748   22869
Received by board: MES: gas_levels = -12375  18814   22869
Received by board: MES: gas_levels = -12486  18826   22869
Received by board: MES: gas_levels = -12589  18775   22869
Received by board: MES: gas_levels = -12468  18886   22869
Received by board: MES: gas_levels = -12436  18855   22869
Received by board: MES: gas_levels = -12791  18874   22869
Received by board: MES: gas_levels = -12551  18879   22869
Received by board: MES: gas_levels = -12435  18805   22869
Received by board: MES: gas_levels = -12171  18691   22869
Received by board: MES: gas_levels = -12255  18819   22869
Received by board: MES: gas_levels = -12605  18843   22869
Received by board: MES: gas_levels = -12465  18744   22869
Received by board: MES: gas_levels = -12565  18764   22869
Received by board: MES: gas_levels = -12340  18789   22869
Received by board: MES: gas_levels = -12408  18832   22869
Received by board: MES: gas_levels = -12376  18840   22869
Received by board: MES: gas_levels = -12444  18857   22869
Received by board: MES: gas_levels = -12637  18856   22869
Received by board: MES: gas_levels = -12511  18716   22869
Received by board: MES: gas_levels = -12435  18821   22869
Received by board: MES: gas_levels = -12343  18896   22869
Received by board: MES: gas_levels = -12603  18889   22869
Received by board: MES: gas_levels = -12440  18730   22869
Received by board: MES: gas_levels = -12188  18516   22869
Received by board: MES: gas_levels = -12303  18627   22869
Received by board: MES: gas_levels = -12176  18499   22869
Received by board: MES: gas_levels = -12268  18735   22869
Received by board: MES: gas_levels = -12385  18533   22869
Received by board: MES: gas_levels = -12495  18604   22869
Received by board: MES: gas_levels = -12502  18550   22869
Received by board: MES: gas_levels = -12293  18617   22869
Received by board: MES: gas_levels = -13210  18657   23073
Received by board: MES: gas_levels = -14126  18653   22869
Received by board: MES: gas_levels = -14543  18781   23073
Received by board: MES: gas_levels = -14941  18844   23073
Received by board: MES: gas_levels = -14687  18812   23073
Received by board: MES: gas_levels = -15094  18848   23073
Received by board: MES: gas_levels = -15039  18856   23073
Received by board: MES: gas_levels = -14850  18668   23073
Received by board: MES: gas_levels = -15145  18746   23073
Received by board: MES: gas_levels = -15025  18763   22869
Received by board: MES: gas_levels = -15015  18659   23073
Received by board: MES: gas_levels = -14979  18699   22869
Received by board: MES: gas_levels = -14857  18726   22869
Received by board: MES: gas_levels = -14516  18701   22869
Received by board: MES: gas_levels = -14668  18649   22869
Received by board: MES: gas_levels = -14980  18625   22869
Received by board: MES: gas_levels = -15162  18779   22869
Received by board: MES: gas_levels = -15088  18727   22869
Received by board: MES: gas_levels = -15087  18787   22869
Received by board: MES: gas_levels = -15053  18655   22869
Received by board: MES: gas_levels = -15246  18774   22869
Received by board: MES: gas_levels = -14907  18781   22869
Received by board: MES: gas_levels = -15138  18741   22869
Received by board: MES: gas_levels = -15050  18824   22869
Received by board: MES: gas_levels = -15218  18773   22869
Received by board: MES: gas_levels = -14933  18664   22869
Received by board: MES: gas_levels = -15140  18771   22869
Received by board: MES: gas_levels = -14719  18767   22869
Received by board: MES: gas_levels = -14738  18789   22869
Received by board: MES: gas_levels = -14736  18720   22869
Received by board: MES: gas_levels = -14749  18691   22869
Received by board: MES: gas_levels = -15369  18744   22869
Received by board: MES: gas_levels = -14873  18665   22869
Received by board: MES: gas_levels = -15211  18724   22869
Received by board: MES: gas_levels = -14974  18734   22869
Received by board: MES: gas_levels = -15235  18734   22869
Received by board: MES: gas_levels = -15162  18759   22869
Received by board: MES: gas_levels = -14976  18757   22869
Received by board: MES: gas_levels = -15185  18845   22869
Received by board: MES: gas_levels = -15285  18789   22869
Received by board: MES: gas_levels = -15159  18823   22869
Received by board: MES: gas_levels = -14905  18810   22869
Received by board: MES: gas_levels = -14447  18720   22869
Received by board: MES: gas_levels = -14024  18697   22869
Received by board: MES: gas_levels = -13272  18561   22869
Received by board: MES: gas_levels = -12590  18556   22869
Received by board: MES: gas_levels = -12989  18439   22869
Received by board: MES: gas_levels = -12600  18576   22869
Received by board: MES: gas_levels = -12431  18426   22869
Received by board: MES: gas_levels = -12557  18436   22869
Received by board: MES: gas_levels = -12502  18425   22869
Received by board: MES: gas_levels = -12414  18351   22869
Received by board: MES: gas_levels = -12568  18396   22869
Received by board: MES: gas_levels = -12197  18426   22869
Received by board: MES: gas_levels = -12236  18445   22869
Received by board: MES: gas_levels = -12296  18399   22869
Received by board: MES: gas_levels = -12474  18443   22869
Received by board: MES: gas_levels = -12366  18404   22869
Received by board: MES: gas_levels = -12406  18489   22869
Received by board: MES: gas_levels = -12962  18506   22869
Received by board: MES: gas_levels = -13817  18562   22869
Received by board: MES: gas_levels = -14497  18525   22869
Received by board: MES: gas_levels = -14462  18490   22869
Received by board: MES: gas_levels = -15047  18534   22869
Received by board: MES: gas_levels = -14886  18606   22869
Received by board: MES: gas_levels = -14986  18636   22869
Received by board: MES: gas_levels = -15155  18676   22869
Received by board: MES: gas_levels = -14969  18633   22869
Received by board: MES: gas_levels = -14725  18634   22869
Received by board: MES: gas_levels = -15071  18659   22869
Received by board: MES: gas_levels = -15009  18617   22869
Received by board: MES: gas_levels = -15043  18574   22869
Received by board: MES: gas_levels = -14898  18641   22869
Received by board: MES: gas_levels = -15227  18679   22869
Received by board: MES: gas_levels = -15188  18586   22869
Received by board: MES: gas_levels = -14996  18509   22869
Received by board: MES: gas_levels = -14766  18507   22869
Received by board: MES: gas_levels = -14920  18603   22869
Received by board: MES: gas_levels = -14843  18546   22869
Received by board: MES: gas_levels = -14246  18630   23039
Received by board: MES: gas_levels = -13725  18422   23039
Received by board: MES: gas_levels = -13035  18434   23039
Received by board: MES: gas_levels = -12547  18422   23039
Received by board: MES: gas_levels = -12616  18349   23039
Received by board: MES: gas_levels = -13121  18354   23039
Received by board: MES: gas_levels = -14167  18425   23039
Received by board: MES: gas_levels = -14925  18525   23039
Received by board: MES: gas_levels = -14352  18534   23039
Received by board: MES: gas_levels = -14820  18552   23039
Received by board: MES: gas_levels = -14900  18550   22869
Received by board: MES: gas_levels = -14817  18579   22869
Received by board: MES: gas_levels = -14438  18590   22869
Received by board: MES: gas_levels = -13734  18460   22869
Received by board: MES: gas_levels = -13662  18430   22869
Received by board: MES: gas_levels = -13864  18429   22869
Received by board: MES: gas_levels = -14080  18488   22869
Received by board: MES: gas_levels = -14118  18416   22869
Received by board: MES: gas_levels = -13820  18493   22869
Received by board: MES: gas_levels = -13647  18347   22869
Received by board: MES: gas_levels = -13139  18407   22869
Received by board: MES: gas_levels = -13241  18406   22869
Received by board: MES: gas_levels = -13767  18412   22869
Received by board: MES: gas_levels = -14169  18444   22869
Received by board: MES: gas_levels = -14469  18426   22869
Received by board: MES: gas_levels = -14214  18470   22869
Received by board: MES: gas_levels = -14571  18460   22869
Received by board: MES: gas_levels = -14634  18556   22869
Received by board: MES: gas_levels = -14695  18502   22869
Received by board: MES: gas_levels = -14838  18546   22869
Received by board: MES: gas_levels = -14472  18527   22869
Received by board: MES: gas_levels = -14828  18466   22869
Received by board: MES: gas_levels = -15105  18436   22869
Received by board: MES: gas_levels = -15121  18506   22869
Received by board: MES: gas_levels = -14780  18455   22869
Received by board: MES: gas_levels = -14923  18455   22869
Received by board: MES: gas_levels = -14690  18494   22869
Received by board: MES: gas_levels = -14710  18480   22869
Received by board: MES: gas_levels = -14550  18529   22869
Received by board: MES: gas_levels = -14603  18473   22869
Received by board: MES: gas_levels = -14779  18364   22869
Received by board: MES: gas_levels = -14884  18439   22869
Received by board: MES: gas_levels = -14821  18555   22869
Received by board: MES: gas_levels = -14893  18523   22869
Received by board: MES: gas_levels = -14798  18478   22869
Received by board: MES: gas_levels = -14776  18496   22869
Received by board: MES: gas_levels = -14672  18495   22869
Received by board: MES: gas_levels = -14437  18483   22869
Received by board: MES: gas_levels = -14700  18451   22869
Received by board: MES: gas_levels = -14711  18459   22869
Received by board: MES: gas_levels = -14750  18476   22869
Received by board: MES: gas_levels = -14750  18386   22869
Received by board: MES: gas_levels = -14880  18438   22869
Received by board: MES: gas_levels = -14812  18352   22869
Received by board: MES: gas_levels = -14426  18436   22869
Received by board: MES: gas_levels = -14783  18488   22869
Received by board: MES: gas_levels = -14456  18402   22869
Received by board: MES: gas_levels = -14731  18463   22869
Received by board: MES: gas_levels = -14620  18429   22869
Received by board: MES: gas_levels = -14719  18404   22869
Received by board: MES: gas_levels = -14473  18420   22869
Received by board: MES: gas_levels = -14860  18402   22869
Received by board: MES: gas_levels = -14733  18417   22869
Received by board: MES: gas_levels = -14742  18449   22869
Received by board: MES: gas_levels = -14375  18380   22869
Received by board: MES: gas_levels = -14622  18310   22869
Received by board: MES: gas_levels = -14811  18430   22869
Received by board: MES: gas_levels = -15064  18458   22869
Received by board: MES: gas_levels = -14542  18391   22869
Received by board: MES: gas_levels = -14690  18488   22869
Received by board: MES: gas_levels = -14759  18464   22869
Received by board: MES: gas_levels = -14626  18442   22869
Received by board: MES: gas_levels = -14708  18392   22869
Received by board: MES: gas_levels = -14616  18548   22869
Received by board: MES: gas_levels = -14130  18401   22869
Received by board: MES: gas_levels = -13484  18347   22869
Received by board: MES: gas_levels = -12608  18322   22869
Received by board: MES: gas_levels = -12563  18263   22869
Received by board: MES: gas_levels = -12443  18296   22869
Received by board: MES: gas_levels = -12777  18260   23073
Received by board: MES: gas_levels = -13746  18342   23073
Received by board: MES: gas_levels = -14043  18377   23073
Received by board: MES: gas_levels = -14314  18320   23073
Received by board: MES: gas_levels = -14446  18407   23073
Received by board: MES: gas_levels = -14453  18490   23073
Received by board: MES: gas_levels = -14604  18425   23073
Received by board: MES: gas_levels = -14603  18375   22869
Received by board: MES: gas_levels = -14293  18502   23073
Received by board: MES: gas_levels = -14593  18549   22869
Received by board: MES: gas_levels = -14540  18514   23073
Received by board: MES: gas_levels = -14475  18492   22869
Received by board: MES: gas_levels = -14784  18488   22869
Received by board: MES: gas_levels = -14602  18413   22869
Received by board: MES: gas_levels = -14327  18399   22869
Received by board: MES: gas_levels = -14750  18446   22869
Received by board: MES: gas_levels = -14564  18456   22869
Received by board: MES: gas_levels = -14690  18401   22869
Received by board: MES: gas_levels = -14449  18400   22869
Received by board: MES: gas_levels = -14690  18495   22869
Received by board: MES: gas_levels = -14442  18421   22869
Received by board: MES: gas_levels = -14649  18486   22869
Received by board: MES: gas_levels = -14838  18409   22869
Received by board: MES: gas_levels = -14784  18505   22869
Received by board: MES: gas_levels = -14640  18402   22869
Received by board: MES: gas_levels = -14781  18442   22869
Received by board: MES: gas_levels = -14752  18402   22869
Received by board: MES: gas_levels = -14600  18452   22869
Received by board: MES: gas_levels = -14756  18532   22869
Received by board: MES: gas_levels = -14598  18397   22869
Received by board: MES: gas_levels = -15035  18460   22869
Received by board: MES: gas_levels = -14616  18560   22869
Received by board: MES: gas_levels = -14458  18488   22869
Received by board: MES: gas_levels = -14322  18486   22869
Received by board: MES: gas_levels = -14617  18474   22869
Received by board: MES: gas_levels = -14507  18421   22869
Received by board: MES: gas_levels = -14652  18509   22869
Received by board: MES: gas_levels = -14751  18461   22869
Received by board: MES: gas_levels = -14501  18479   22869
Received by board: MES: gas_levels = -14651  18476   22869
Received by board: MES: gas_levels = -14738  18514   22869
Received by board: MES: gas_levels = -14745  18469   22869
Received by board: MES: gas_levels = -14762  18501   22869
Received by board: MES: gas_levels = -15079  18477   22869
Received by board: MES: gas_levels = -14494  18549   22869
Received by board: MES: gas_levels = -14623  18402   22869
Received by board: MES: gas_levels = -14514  18405   22869
Received by board: MES: gas_levels = -14072  18433   22869
Received by board: MES: gas_levels = -14452  18477   22869
Received by board: MES: gas_levels = -14228  18333   22869
Received by board: MES: gas_levels = -14195  18491   22869
Received by board: MES: gas_levels = -13990  18407   22869
Received by board: MES: gas_levels = -14368  18372   22869
Received by board: MES: gas_levels = -14314  18448   22869
Received by board: MES: gas_levels = -14591  18469   22869
Received by board: MES: gas_levels = -14627  18495   22869
Received by board: MES: gas_levels = -14444  18442   22869
Received by board: MES: gas_levels = -14455  18346   22869
Received by board: MES: gas_levels = -14272  18430   22869
Received by board: MES: gas_levels = -14843  18540   22869
Received by board: MES: gas_levels = -14646  18462   22869
Received by board: MES: gas_levels = -14447  18398   22869
Received by board: MES: gas_levels = -14478  18374   22869
Received by board: MES: gas_levels = -14601  18415   22869
Received by board: MES: gas_levels = -14600  18490   22869
Received by board: MES: gas_levels = -14562  18542   22869
Received by board: MES: gas_levels = -14627  18559   22869
Received by board: MES: gas_levels = -14736  18558   22869
Received by board: MES: gas_levels = -14756  18513   22869
Received by board: MES: gas_levels = -14658  18537   22869
Received by board: MES: gas_levels = -14482  18512   22869
Received by board: MES: gas_levels = -14693  18552   22869
Received by board: MES: gas_levels = -14473  18535   22869
Received by board: MES: gas_levels = -14705  18560   22869
Received by board: MES: gas_levels = -14751  18597   22869
Received by board: MES: gas_levels = -14573  18536   22869
Received by board: MES: gas_levels = -14596  18503   22869
Received by board: MES: gas_levels = -14674  18634   22869
Received by board: MES: gas_levels = -15126  18647   23039
Received by board: MES: gas_levels = -14718  18599   23039
Received by board: MES: gas_levels = -14865  18649   23039
Received by board: MES: gas_levels = -14782  18634   23039
Received by board: MES: gas_levels = -15041  18738   23039
Received by board: MES: gas_levels = -14676  18741   23039
Received by board: MES: gas_levels = -14447  18665   23039
